0.2.262.1.10, Telesec
1.3.6.1.4.1.3029.4.1.5, rtcsResponse
1.3.6.1.4.1.3029.4.1.6, rtcsResponseExt
1.3.6.1.4.1.3029.42.11172.1, mpeg-1
1.3.6.1.4.1.3029.88.89.90.90.89, xYZZY policyIdentifier
1.3.6.1.4.1.311, Microsoft OID
1.3.6.1.4.1.311.10, Crypto 2.0
1.3.6.1.4.1.311.10.1, certTrustList
1.3.6.1.4.1.311.10.1.1, szOID_SORTED_CTL
1.3.6.1.4.1.311.10.10, Microsoft CMC OIDs
1.3.6.1.4.1.311.10.10.1, szOID_CMC_ADD_ATTRIBUTES
1.3.6.1.4.1.311.10.11, Microsoft certificate property OIDs
1.3.6.1.4.1.311.10.11.1, szOID_CERT_PROP_ID_PREFIX
1.3.6.1.4.1.311.10.11.20, certKeyIdentifierPropId
1.3.6.1.4.1.311.10.11.28, certIssuerSerialNumberMd5HashPropId
1.3.6.1.4.1.311.10.11.29, certSubjectNameMd5HashPropId
1.3.6.1.4.1.311.10.11.4, certMd5HashPropId
1.3.6.1.4.1.311.10.12, CryptUI
1.3.6.1.4.1.311.10.12.1, szOID_ANY_APPLICATION_POLICY
1.3.6.1.4.1.311.10.2, nextUpdateLocation
1.3.6.1.4.1.311.10.3.1, certTrustListSigning
1.3.6.1.4.1.311.10.3.10, szOID_KP_QUALIFIED_SUBORDINATION
1.3.6.1.4.1.311.10.3.11, szOID_KP_KEY_RECOVERY
1.3.6.1.4.1.311.10.3.12, szOID_KP_DOCUMENT_SIGNING
1.3.6.1.4.1.311.10.3.13, lifetimeSigning
1.3.6.1.4.1.311.10.3.14, mobileDeviceSoftware
1.3.6.1.4.1.311.10.3.15, smartDisplay
1.3.6.1.4.1.311.10.3.16, cspSignature
1.3.6.1.4.1.311.10.3.2, timeStampSigning
1.3.6.1.4.1.311.10.3.3, serverGatedCrypto
1.3.6.1.4.1.311.10.3.3.1, szOID_SERIALIZED
1.3.6.1.4.1.311.10.3.4, encryptedFileSystem
1.3.6.1.4.1.311.10.3.4.1, szOID_EFS_RECOVERY
1.3.6.1.4.1.311.10.3.5, szOID_WHQL_CRYPTO
1.3.6.1.4.1.311.10.3.6, szOID_NT5_CRYPTO
1.3.6.1.4.1.311.10.3.7, szOID_OEM_WHQL_CRYPTO
1.3.6.1.4.1.311.10.3.8, szOID_EMBEDDED_NT_CRYPTO
1.3.6.1.4.1.311.10.3.9, szOID_ROOT_LIST_SIGNER
1.3.6.1.4.1.311.10.4.1, yesnoTrustAttr
1.3.6.1.4.1.311.10.5.1, szOID_DRM
1.3.6.1.4.1.311.10.5.2, szOID_DRM_INDIVIDUALIZATION
1.3.6.1.4.1.311.10.6.1, szOID_LICENSES
1.3.6.1.4.1.311.10.6.2, szOID_LICENSE_SERVER
1.3.6.1.4.1.311.10.7, szOID_MICROSOFT_RDN_PREFIX
1.3.6.1.4.1.311.10.7.1, szOID_KEYID_RDN
1.3.6.1.4.1.311.10.8.1, szOID_REMOVE_CERTIFICATE
1.3.6.1.4.1.311.10.9.1, szOID_CROSS_CERT_DIST_POINTS
1.3.6.1.4.1.311.12, Catalog
1.3.6.1.4.1.311.12.1.1, szOID_CATALOG_LIST
1.3.6.1.4.1.311.12.1.2, szOID_CATALOG_LIST_MEMBER
1.3.6.1.4.1.311.12.2.1, CAT_NAMEVALUE_OBJID
1.3.6.1.4.1.311.12.2.2, CAT_MEMBERINFO_OBJID
1.3.6.1.4.1.311.13, Microsoft PKCS10 OIDs
1.3.6.1.4.1.311.13.1, szOID_RENEWAL_CERTIFICATE
1.3.6.1.4.1.311.13.2.1, szOID_ENROLLMENT_NAME_VALUE_PAIR
1.3.6.1.4.1.311.13.2.2, szOID_ENROLLMENT_CSP_PROVIDER
1.3.6.1.4.1.311.13.2.3, OS Version
1.3.6.1.4.1.311.15, Microsoft Java
1.3.6.1.4.1.311.16, Microsoft Outlook/Exchange
1.3.6.1.4.1.311.16.4, Outlook Express
1.3.6.1.4.1.311.17, Microsoft PKCS12 attributes
1.3.6.1.4.1.311.17.1, szOID_LOCAL_MACHINE_KEYSET
1.3.6.1.4.1.311.17.2, localMachineKeyset
1.3.6.1.4.1.311.17.3, pkcs12ExtendedAttributes
1.3.6.1.4.1.311.18, Microsoft Hydra
1.3.6.1.4.1.311.19, Microsoft ISPU Test
1.3.6.1.4.1.311.2, Authenticode
1.3.6.1.4.1.311.2.1.10, spcAgencyInfo
1.3.6.1.4.1.311.2.1.11, spcStatementType
1.3.6.1.4.1.311.2.1.12, spcSpOpusInfo
1.3.6.1.4.1.311.2.1.14, certExtensions
1.3.6.1.4.1.311.2.1.15, spcPelmageData
1.3.6.1.4.1.311.2.1.18, SPC_RAW_FILE_DATA_OBJID
1.3.6.1.4.1.311.2.1.19, SPC_STRUCTURED_STORAGE_DATA_OBJID
1.3.6.1.4.1.311.2.1.20, spcLink
1.3.6.1.4.1.311.2.1.21, individualCodeSigning
1.3.6.1.4.1.311.2.1.22, commercialCodeSigning
1.3.6.1.4.1.311.2.1.25, spcLink
1.3.6.1.4.1.311.2.1.26, spcMinimalCriteriaInfo
1.3.6.1.4.1.311.2.1.27, spcFinancialCriteriaInfo
1.3.6.1.4.1.311.2.1.28, spcLink
1.3.6.1.4.1.311.2.1.29, SPC_HASH_INFO_OBJID
1.3.6.1.4.1.311.2.1.30, SPC_SIPINFO_OBJID
1.3.6.1.4.1.311.2.1.4, spcIndirectDataContext
1.3.6.1.4.1.311.2.2, CTL for Software Publishers Trusted CAs
1.3.6.1.4.1.311.2.2.1, szOID_TRUSTED_CODESIGNING_CA_LIST
1.3.6.1.4.1.311.2.2.2, szOID_TRUSTED_CLIENT_AUTH_CA_LIST
1.3.6.1.4.1.311.2.2.3, szOID_TRUSTED_SERVER_AUTH_CA_LIST
1.3.6.1.4.1.311.20, Microsoft Enrollment Infrastructure
1.3.6.1.4.1.311.20.1, szOID_AUTO_ENROLL_CTL_USAGE
1.3.6.1.4.1.311.20.2, szOID_ENROLL_CERTTYPE_EXTENSION
1.3.6.1.4.1.311.20.2.1, szOID_ENROLLMENT_AGENT
1.3.6.1.4.1.311.20.2.2, szOID_KP_SMARTCARD_LOGON
1.3.6.1.4.1.311.20.2.3, szOID_NT_PRINCIPAL_NAME
1.3.6.1.4.1.311.20.3, szOID_CERT_MANIFOLD
1.3.6.1.4.1.311.21, Microsoft CertSrv Infrastructure
1.3.6.1.4.1.311.21.1, szOID_CERTSRV_CA_VERSION
1.3.6.1.4.1.311.21.10, applicationCertPolicies
1.3.6.1.4.1.311.21.11, applicationPolicyMappings
1.3.6.1.4.1.311.21.12, applicationPolicyConstraints
1.3.6.1.4.1.311.21.13, archivedKey
1.3.6.1.4.1.311.21.14, crlSelfCDP
1.3.6.1.4.1.311.21.15, requireCertChainPolicy
1.3.6.1.4.1.311.21.16, archivedKeyCertHash
1.3.6.1.4.1.311.21.17, issuedCertHash
1.3.6.1.4.1.311.21.19, dsEmailReplication
1.3.6.1.4.1.311.21.2, certSrvPreviousCertHash
1.3.6.1.4.1.311.21.20, Client Information
1.3.6.1.4.1.311.21.21, encryptedKeyHash
1.3.6.1.4.1.311.21.22, certsrvCrossCaVersion
1.3.6.1.4.1.311.21.3, crlVirtualBase
1.3.6.1.4.1.311.21.4, crlNextPublish
1.3.6.1.4.1.311.21.5, caExchange
1.3.6.1.4.1.311.21.6, keyRecovery
1.3.6.1.4.1.311.21.7, certificateTemplate
1.3.6.1.4.1.311.21.9, rdnDummySigner
1.3.6.1.4.1.311.25, Microsoft Directory Service
1.3.6.1.4.1.311.25.1, szOID_NTDS_REPLICATION
1.3.6.1.4.1.311.3, Time Stamping
1.3.6.1.4.1.311.3.2.1, SPC_TIME_STAMP_REQUEST_OBJID
1.3.6.1.4.1.311.30, IIS
1.3.6.1.4.1.311.31, Windows updates and service packs
1.3.6.1.4.1.311.31.1, szOID_PRODUCT_UPDATE
1.3.6.1.4.1.311.4, Permissions
1.3.6.1.4.1.311.40, Fonts
1.3.6.1.4.1.311.41, Microsoft Licensing and Registration
1.3.6.1.4.1.311.42, Microsoft Corporate PKI (ITG)
1.3.6.1.4.1.311.47.1.1, systemHealth
1.3.6.1.4.1.311.47.1.3, systemHealthLoophole
1.3.6.1.4.1.311.60.1.1, rootProgramFlags
1.3.6.1.4.1.311.61.1.1, kernelModeCodeSigning
1.3.6.1.4.1.311.88, CAPICOM
1.3.6.1.4.1.311.88.1, szOID_CAPICOM_VERSION
1.3.6.1.4.1.311.88.2, szOID_CAPICOM_ATTRIBUTE
1.3.6.1.4.1.311.88.2.1, szOID_CAPICOM_DOCUMENT_NAME
1.3.6.1.4.1.311.88.2.2, szOID_CAPICOM_DOCUMENT_DESCRIPTION
1.3.6.1.4.1.311.88.3, szOID_CAPICOM_ENCRYPTED_DATA
1.3.6.1.4.1.311.88.3.1, szOID_CAPICOM_ENCRYPTED_CONTENT
1.3.6.1.4.1.3401.8.1.1, pgpExtension
1.3.6.1.4.1.3576.7, eciaAscX12Edi
1.3.6.1.4.1.3576.7.1, plainEDImessage
1.3.6.1.4.1.3576.7.2, signedEDImessage
1.3.6.1.4.1.3576.7.5, integrityEDImessage
1.3.6.1.4.1.3576.7.65, iaReceiptMessage
1.3.6.1.4.1.3576.7.97, iaStatusMessage
1.3.6.1.4.1.3576.8, eciaEdifact
1.3.6.1.4.1.3576.9, eciaNonEdi
1.3.6.1.4.1.5472, timeproof
1.3.6.1.4.1.5472.1, tss
1.3.6.1.4.1.5472.1.1, tss80
1.3.6.1.4.1.5472.1.2, tss380
1.3.6.1.4.1.5472.1.3, tss400
1.3.6.1.4.1.5770.0.3, secondaryPractices
1.3.6.1.4.1.5770.0.4, physicianIdentifiers
1.3.6.1.4.1.6449.1.2.1.3.1, comodoPolicy
1.3.6.1.4.1.6449.1.3.5.2, validityModel x
1.3.6.1.4.1.8231.1, rolUnicoNacional
1.3.6.1.4.1.8301.3.5.1, validityModelChain
1.3.6.1.4.1.8301.3.5.2, validityModelShell
1.3.6.1.5.5.7, pkix
1.3.6.1.5.5.7.0.12, attributeCert
1.3.6.1.5.5.7.1, privateExtension
1.3.6.1.5.5.7.1.1, authorityInfoAccess
1.3.6.1.5.5.7.1.10, acProxying
1.3.6.1.5.5.7.1.11, subjectInfoAccess
1.3.6.1.5.5.7.1.12, logoType
1.3.6.1.5.5.7.1.2, biometricInfo
1.3.6.1.5.5.7.1.3, qcStatements
1.3.6.1.5.5.7.1.4, acAuditIdentity
1.3.6.1.5.5.7.1.5, acTargeting
1.3.6.1.5.5.7.1.6, acAaControls
1.3.6.1.5.5.7.1.7, sbgp-ipAddrBlock
1.3.6.1.5.5.7.1.8, sbgp-autonomousSysNum
1.3.6.1.5.5.7.1.9, sbgp-routerIdentifier
1.3.6.1.5.5.7.10, attributeCertificate
1.3.6.1.5.5.7.10.1, authenticationInfo
1.3.6.1.5.5.7.10.2, accessIdentity
1.3.6.1.5.5.7.10.3, chargingIdentity
1.3.6.1.5.5.7.10.4, group
1.3.6.1.5.5.7.10.5, role
1.3.6.1.5.5.7.10.6, encAttrs
1.3.6.1.5.5.7.11, personalData
1.3.6.1.5.5.7.11.1, pkixQCSyntax-v1
1.3.6.1.5.5.7.12.2, CMC Data
1.3.6.1.5.5.7.2, policyQualifierIds
1.3.6.1.5.5.7.2.1, cps
1.3.6.1.5.5.7.2.2, unotice
1.3.6.1.5.5.7.2.3, textNotice
1.3.6.1.5.5.7.20, logo
1.3.6.1.5.5.7.20.1, logoLoyalty
1.3.6.1.5.5.7.20.2, logoBackground
1.3.6.1.5.5.7.3, keyPurpose
1.3.6.1.5.5.7.3.1, serverAuth
1.3.6.1.5.5.7.3.10, dvcs
1.3.6.1.5.5.7.3.11, sbgpCertAAServerAuth
1.3.6.1.5.5.7.3.13, eapOverPPP
1.3.6.1.5.5.7.3.14, wlanSSID
1.3.6.1.5.5.7.3.2, clientAuth
1.3.6.1.5.5.7.3.3, codeSigning
1.3.6.1.5.5.7.3.4, emailProtection
1.3.6.1.5.5.7.3.5, ipsecEndSystem
1.3.6.1.5.5.7.3.6, ipsecTunnel
1.3.6.1.5.5.7.3.7, ipsecUser
1.3.6.1.5.5.7.3.8, timeStamping
1.3.6.1.5.5.7.3.9, ocspSigning
1.3.6.1.5.5.7.4, cmpInformationTypes
1.3.6.1.5.5.7.4.1, caProtEncCert
1.3.6.1.5.5.7.4.10, keyPairParamReq
1.3.6.1.5.5.7.4.11, keyPairParamRep
1.3.6.1.5.5.7.4.12, revPassphrase
1.3.6.1.5.5.7.4.13, implicitConfirm
1.3.6.1.5.5.7.4.14, confirmWaitTime
1.3.6.1.5.5.7.4.15, origPKIMessage
1.3.6.1.5.5.7.4.16, suppLangTags
1.3.6.1.5.5.7.4.2, signKeyPairTypes
1.3.6.1.5.5.7.4.3, encKeyPairTypes
1.3.6.1.5.5.7.4.4, preferredSymmAlg
1.3.6.1.5.5.7.4.5, caKeyUpdateInfo
1.3.6.1.5.5.7.4.6, currentCRL
1.3.6.1.5.5.7.4.7, unsupportedOIDs
1.3.6.1.5.5.7.48.1, ocsp
1.3.6.1.5.5.7.48.1.1, ocspBasic
1.3.6.1.5.5.7.48.1.2, ocspNonce
1.3.6.1.5.5.7.48.1.3, ocspCRL
1.3.6.1.5.5.7.48.1.4, ocspResponse
1.3.6.1.5.5.7.48.1.5, ocspNoCheck
1.3.6.1.5.5.7.48.1.6, ocspArchiveCutoff
1.3.6.1.5.5.7.48.1.7, ocspServiceLocator
1.3.6.1.5.5.7.48.2, caIssuers
1.3.6.1.5.5.7.48.3, caRepository x
1.3.6.1.5.5.7.5, crmfRegistration
1.3.6.1.5.5.7.5.1, regCtrl
1.3.6.1.5.5.7.5.1.1, regToken
1.3.6.1.5.5.7.5.1.2, authenticator
1.3.6.1.5.5.7.5.1.3, pkiPublicationInfo
1.3.6.1.5.5.7.5.1.4, pkiArchiveOptions
1.3.6.1.5.5.7.5.1.5, oldCertID
1.3.6.1.5.5.7.5.1.6, protocolEncrKey
1.3.6.1.5.5.7.5.1.7, altCertTemplate
1.3.6.1.5.5.7.5.1.8, wtlsTemplate
1.3.6.1.5.5.7.5.2, utf8Pairs
1.3.6.1.5.5.7.5.2.1, utf8Pairs
1.3.6.1.5.5.7.5.2.2, certReq
1.3.6.1.5.5.7.6, algorithms
1.3.6.1.5.5.7.6.1, des40
1.3.6.1.5.5.7.6.2, noSignature
1.3.6.1.5.5.7.6.3, dh-sig-hmac-sha1
1.3.6.1.5.5.7.6.4, dh-pop
1.3.6.1.5.5.7.7, cmcControls
1.3.6.1.5.5.7.8, otherNames
1.3.6.1.5.5.7.8.1, personalData
1.3.6.1.5.5.7.8.2, userGroup
1.3.6.1.5.5.7.9, personalData
1.3.6.1.5.5.7.9.1, dateOfBirth
1.3.6.1.5.5.7.9.2, placeOfBirth
1.3.6.1.5.5.7.9.3, gender
1.3.6.1.5.5.7.9.4, countryOfCitizenship
1.3.6.1.5.5.7.9.5, countryOfResidence
1.3.6.1.5.5.8.1.1, HMAC-MD5
1.3.6.1.5.5.8.1.2, HMAC-SHA
1.3.6.1.5.5.8.1.3, hmacTiger
1.3.6.1.5.5.8.2.2, iKEIntermediate
2.16.840.1.101.2.1.1.1, sdnsSignatureAlgorithm
2.16.840.1.101.2.1.1.10, mosaicKeyManagementAlgorithm
2.16.840.1.101.2.1.1.11, sdnsKMandSigAlgorithm
2.16.840.1.101.2.1.1.12, mosaicKMandSigAlgorithm
2.16.840.1.101.2.1.1.13, SuiteASignatureAlgorithm
2.16.840.1.101.2.1.1.14, SuiteAConfidentialityAlgorithm
2.16.840.1.101.2.1.1.15, SuiteAIntegrityAlgorithm
2.16.840.1.101.2.1.1.16, SuiteATokenProtectionAlgorithm
2.16.840.1.101.2.1.1.17, SuiteAKeyManagementAlgorithm
2.16.840.1.101.2.1.1.18, SuiteAKMandSigAlgorithm
2.16.840.1.101.2.1.1.19, mosaicUpdatedSigAlgorithm
2.16.840.1.101.2.1.1.2, mosaicSignatureAlgorithm
2.16.840.1.101.2.1.1.20, mosaicKMandUpdSigAlgorithms
2.16.840.1.101.2.1.1.21, mosaicUpdatedIntegAlgorithm
2.16.840.1.101.2.1.1.22, mosaicKeyEncryptionAlgorithm
2.16.840.1.101.2.1.1.23, fortezzaWrap80Algorithm
2.16.840.1.101.2.1.1.24, kEAKeyEncryptionAlgorithm
2.16.840.1.101.2.1.1.3, sdnsConfidentialityAlgorithm
2.16.840.1.101.2.1.1.4, mosaicConfidentialityAlgorithm
2.16.840.1.101.2.1.1.5, sdnsIntegrityAlgorithm
2.16.840.1.101.2.1.1.6, mosaicIntegrityAlgorithm
2.16.840.1.101.2.1.1.7, sdnsTokenProtectionAlgorithm
2.16.840.1.101.2.1.1.8, mosaicTokenProtectionAlgorithm
2.16.840.1.101.2.1.1.9, sdnsKeyManagementAlgorithm
2.16.840.1.101.2.1.10.1, sigPrivileges
2.16.840.1.101.2.1.10.2, kmPrivileges
2.16.840.1.101.2.1.10.3, namedTagSetPrivilege
2.16.840.1.101.2.1.11.1, ukDemo
2.16.840.1.101.2.1.11.2, usDODClass2
2.16.840.1.101.2.1.11.3, usMediumPilot
2.16.840.1.101.2.1.11.4, usDODClass4
2.16.840.1.101.2.1.11.5, usDODClass3
2.16.840.1.101.2.1.11.6, usDODClass5
2.16.840.1.101.2.1.12.0, testSecurityPolicy
2.16.840.1.101.2.1.12.0.1, tsp1
2.16.840.1.101.2.1.12.0.1.0, tsp1SecurityCategories
2.16.840.1.101.2.1.12.0.1.0.0, tsp1TagSetZero
2.16.840.1.101.2.1.12.0.1.0.1, tsp1TagSetOne
2.16.840.1.101.2.1.12.0.1.0.2, tsp1TagSetTwo
2.16.840.1.101.2.1.12.0.2, tsp2
2.16.840.1.101.2.1.12.0.2.0, tsp2SecurityCategories
2.16.840.1.101.2.1.12.0.2.0.0, tsp2TagSetZero
2.16.840.1.101.2.1.12.0.2.0.1, tsp2TagSetOne
2.16.840.1.101.2.1.12.0.2.0.2, tsp2TagSetTwo
2.16.840.1.101.2.1.12.0.3, kafka
2.16.840.1.101.2.1.12.0.3.0, kafkaSecurityCategories
2.16.840.1.101.2.1.12.0.3.0.1, kafkaTagSetName1
2.16.840.1.101.2.1.12.0.3.0.2, kafkaTagSetName2
2.16.840.1.101.2.1.12.0.3.0.3, kafkaTagSetName3
2.16.840.1.101.2.1.12.1.1, tcp1
2.16.840.1.101.2.1.2.1, rfc822MessageFormat
2.16.840.1.101.2.1.2.2, emptyContent
2.16.840.1.101.2.1.2.3, cspContentType
2.16.840.1.101.2.1.2.42, mspRev3ContentType
2.16.840.1.101.2.1.2.48, mspContentType
2.16.840.1.101.2.1.2.49, mspRekeyAgentProtocol
2.16.840.1.101.2.1.2.50, mspMMP
2.16.840.1.101.2.1.2.66, mspRev3-1ContentType
2.16.840.1.101.2.1.2.72, forwardedMSPMessageBodyPart
2.16.840.1.101.2.1.2.73, mspForwardedMessageParameters
2.16.840.1.101.2.1.2.74, forwardedCSPMsgBodyPart
2.16.840.1.101.2.1.2.75, cspForwardedMessageParameters
2.16.840.1.101.2.1.2.76, mspMMP2
2.16.840.1.101.2.1.3.1, sdnsSecurityPolicy
2.16.840.1.101.2.1.3.10, siSecurityPolicy
2.16.840.1.101.2.1.3.10.0, siNASP
2.16.840.1.101.2.1.3.10.1, siELCO
2.16.840.1.101.2.1.3.10.10, siREL_UK
2.16.840.1.101.2.1.3.10.11, siREL-NZ
2.16.840.1.101.2.1.3.10.12, siGeneric
2.16.840.1.101.2.1.3.10.2, siTK
2.16.840.1.101.2.1.3.10.3, siDSAP
2.16.840.1.101.2.1.3.10.4, siSSSS
2.16.840.1.101.2.1.3.10.5, siDNASP
2.16.840.1.101.2.1.3.10.6, siBYEMAN
2.16.840.1.101.2.1.3.10.7, siREL-US
2.16.840.1.101.2.1.3.10.8, siREL-AUS
2.16.840.1.101.2.1.3.10.9, siREL-CAN
2.16.840.1.101.2.1.3.11, genser
2.16.840.1.101.2.1.3.11.0, genserNations
2.16.840.1.101.2.1.3.11.1, genserComsec
2.16.840.1.101.2.1.3.11.2, genserAcquisition
2.16.840.1.101.2.1.3.11.3, genserSecurityCategories
2.16.840.1.101.2.1.3.11.3.0, genserTagSetName
2.16.840.1.101.2.1.3.12, defaultSecurityPolicy
2.16.840.1.101.2.1.3.13, capcoMarkings
2.16.840.1.101.2.1.3.13.0, capcoSecurityCategories
2.16.840.1.101.2.1.3.13.0.1, capcoTagSetName1
2.16.840.1.101.2.1.3.13.0.2, capcoTagSetName2
2.16.840.1.101.2.1.3.13.0.3, capcoTagSetName3
2.16.840.1.101.2.1.3.13.0.4, capcoTagSetName4
2.16.840.1.101.2.1.3.2, sdnsPRBAC
2.16.840.1.101.2.1.3.3, mosaicPRBAC
2.16.840.1.101.2.1.5.1, sdnsKeyManagementCertificate
2.16.840.1.101.2.1.5.10, auxiliaryVector
2.16.840.1.101.2.1.5.11, mlReceiptPolicy
2.16.840.1.101.2.1.5.12, mlMembership
2.16.840.1.101.2.1.5.13, mlAdministrators
2.16.840.1.101.2.1.5.14, alid
2.16.840.1.101.2.1.5.2, sdnsUserSignatureCertificate
2.16.840.1.101.2.1.5.20, janUKMs
2.16.840.1.101.2.1.5.21, febUKMs
2.16.840.1.101.2.1.5.22, marUKMs
2.16.840.1.101.2.1.5.23, aprUKMs
2.16.840.1.101.2.1.5.24, mayUKMs
2.16.840.1.101.2.1.5.25, junUKMs
2.16.840.1.101.2.1.5.26, julUKMs
2.16.840.1.101.2.1.5.27, augUKMs
2.16.840.1.101.2.1.5.28, sepUKMs
2.16.840.1.101.2.1.5.29, octUKMs
2.16.840.1.101.2.1.5.3, sdnsKMandSigCertificate
2.16.840.1.101.2.1.5.30, novUKMs
2.16.840.1.101.2.1.5.31, decUKMs
2.16.840.1.101.2.1.5.4, fortezzaKeyManagementCertificate
2.16.840.1.101.2.1.5.40, metaSDNSckl
2.16.840.1.101.2.1.5.41, sdnsCKL
2.16.840.1.101.2.1.5.42, metaSDNSsignatureCKL
2.16.840.1.101.2.1.5.43, sdnsSignatureCKL
2.16.840.1.101.2.1.5.44, sdnsCertificateRevocationList
2.16.840.1.101.2.1.5.45, fortezzaCertificateRevocationList
2.16.840.1.101.2.1.5.46, fortezzaCKL
2.16.840.1.101.2.1.5.47, alExemptedAddressProcessor
2.16.840.1.101.2.1.5.48, guard
2.16.840.1.101.2.1.5.49, algorithmsSupported
2.16.840.1.101.2.1.5.5, fortezzaKMandSigCertificate
2.16.840.1.101.2.1.5.50, suiteAKeyManagementCertificate
2.16.840.1.101.2.1.5.51, suiteAKMandSigCertificate
2.16.840.1.101.2.1.5.52, suiteAUserSignatureCertificate
2.16.840.1.101.2.1.5.53, prbacInfo
2.16.840.1.101.2.1.5.54, prbacCAConstraints
2.16.840.1.101.2.1.5.55, sigOrKMPrivileges
2.16.840.1.101.2.1.5.56, commPrivileges
2.16.840.1.101.2.1.5.57, labeledAttribute
2.16.840.1.101.2.1.5.58, policyInformationFile
2.16.840.1.101.2.1.5.59, secPolicyInformationFile
2.16.840.1.101.2.1.5.6, fortezzaUserSignatureCertificate
2.16.840.1.101.2.1.5.60, cAClearanceConstraint
2.16.840.1.101.2.1.5.7, fortezzaCASignatureCertificate
2.16.840.1.101.2.1.5.8, sdnsCASignatureCertificate
2.16.840.1.101.2.1.7.1, cspExtns
2.16.840.1.101.2.1.7.1.0, cspCsExtn
2.16.840.1.101.2.1.8.1, mISSISecurityCategories
2.16.840.1.101.2.1.8.2, standardSecurityLabelPrivileges
2.16.840.1.101.3.1, slabel
2.16.840.1.101.3.2, pki
2.16.840.1.101.3.2.1, GAK policyIdentifier
2.16.840.1.101.3.2.1.3.1, fbcaRudimentary policyIdentifier
2.16.840.1.101.3.2.1.3.2, fbcaBasic policyIdentifier
2.16.840.1.101.3.2.1.3.3, fbcaMedium policyIdentifier
2.16.840.1.101.3.2.1.3.4, fbcaHigh policyIdentifier
2.16.840.1.101.3.2.2, gak
2.16.840.1.101.3.2.2.1, kRAKey
2.16.840.1.101.3.2.3, extensions
2.16.840.1.101.3.2.3.1, kRTechnique
2.16.840.1.101.3.2.3.2, kRecoveryCapable
2.16.840.1.101.3.2.3.3, kR
2.16.840.1.101.3.2.4, keyRecoverySchemes
2.16.840.1.101.3.2.5, krapola
2.16.840.1.101.3.3, arpa
2.16.840.1.101.3.4, nistAlgorithm
2.16.840.1.101.3.4.1, aes
2.16.840.1.101.3.4.1.1, aes128-ECB
2.16.840.1.101.3.4.1.2, aes128-CBC
2.16.840.1.101.3.4.1.21, aes192-ECB
2.16.840.1.101.3.4.1.22, aes192-CBC
2.16.840.1.101.3.4.1.23, aes192-OFB
2.16.840.1.101.3.4.1.24, aes192-CFB
2.16.840.1.101.3.4.1.25, aes192-wrap
2.16.840.1.101.3.4.1.26, aes192-GCM
2.16.840.1.101.3.4.1.27, aes192-CCM
2.16.840.1.101.3.4.1.28, aes192-wrap-pad
2.16.840.1.101.3.4.1.3, aes128-OFB
2.16.840.1.101.3.4.1.4, aes128-CFB
2.16.840.1.101.3.4.1.41, aes256-ECB
2.16.840.1.101.3.4.1.42, aes256-CBC
2.16.840.1.101.3.4.1.43, aes256-OFB
2.16.840.1.101.3.4.1.44, aes256-CFB
2.16.840.1.101.3.4.1.45, aes256-wrap
2.16.840.1.101.3.4.1.46, aes256-GCM
2.16.840.1.101.3.4.1.47, aes256-CCM
2.16.840.1.101.3.4.1.48, aes256-wrap-pad
2.16.840.1.101.3.4.1.5, aes128-wrap
2.16.840.1.101.3.4.1.6, aes128-GCM
2.16.840.1.101.3.4.1.7, aes128-CCM
2.16.840.1.101.3.4.1.8, aes128-wrap-pad
2.16.840.1.101.3.4.2, hashAlgos
2.16.840.1.101.3.4.2.1, sha-256
2.16.840.1.101.3.4.2.2, sha-384
2.16.840.1.101.3.4.2.3, sha-512
2.16.840.1.101.3.4.2.4, sha-224
2.16.840.1.101.3.4.3.1, dsaWithSha224
2.16.840.1.101.3.4.3.2, dsaWithSha256
2.16.840.1.113719.1.2.8, novellAlgorithm
2.16.840.1.113719.1.2.8.130, md4Packet
2.16.840.1.113719.1.2.8.131, rsaEncryptionBsafe1
2.16.840.1.113719.1.2.8.132, nwPassword
2.16.840.1.113719.1.2.8.133, novellObfuscate-1
2.16.840.1.113719.1.2.8.22, desCbcIV8
2.16.840.1.113719.1.2.8.23, desCbcPadIV8
2.16.840.1.113719.1.2.8.24, desEDE2CbcIV8
2.16.840.1.113719.1.2.8.25, desEDE2CbcPadIV8
2.16.840.1.113719.1.2.8.26, desEDE3CbcIV8
2.16.840.1.113719.1.2.8.27, desEDE3CbcPadIV8
2.16.840.1.113719.1.2.8.28, rc5CbcPad
2.16.840.1.113719.1.2.8.29, md2WithRSAEncryptionBSafe1
2.16.840.1.113719.1.2.8.30, md5WithRSAEncryptionBSafe1
2.16.840.1.113719.1.2.8.31, sha1WithRSAEncryptionBSafe1
2.16.840.1.113719.1.2.8.32, lmDigest
2.16.840.1.113719.1.2.8.40, md2
2.16.840.1.113719.1.2.8.50, md5
2.16.840.1.113719.1.2.8.51, ikeHmacWithSHA1-RSA
2.16.840.1.113719.1.2.8.52, ikeHmacWithMD5-RSA
2.16.840.1.113719.1.2.8.69, rc2CbcPad
2.16.840.1.113719.1.2.8.82, sha-1
2.16.840.1.113719.1.2.8.92, rc2BSafe1Cbc
2.16.840.1.113719.1.2.8.95, md4
2.16.840.1.113719.1.9, pki
2.16.840.1.113719.1.9.4, pkiAttributeType
2.16.840.1.113719.1.9.4.1, securityAttributes
2.16.840.1.113719.1.9.4.2, relianceLimit
2.16.840.1.113730.1, cert-extension
2.16.840.1.113730.1.1, netscape-cert-type
2.16.840.1.113730.1.10, EntityLogo
